artist,song,lyrics
Taylor Swift,tiedtogetherwithasmile,"Seems the only one who doesn't see your beauty Is the face in the mirror looking back at you You walk around here thinking you're not pretty But that's not true, 'cause I know you  Hold on baby, you're losing it The water's high, you're jumping into it And letting go and no one knows  That you cry but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone  I guess it's true that love was all you wanted 'Cause you're giving it away like it's extra change Hoping it will end up in his pocket But he leaves you out like a penny in the rain  Oh, 'cause it's not his price to pay Not his price to pay  Hold on baby, you're losing it The water's high, you're jumping into it And letting go and no one knows  That you cry but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone  Hold on baby, you're losing it The water's high, you're jumping into it And letting go and no one knows  That you cry but you don't tell anyone That you might not be the golden one And you're tied together with a smile But you're coming undone  You're tied together with a smile But you're coming undone  Goodbye, baby With a smile, baby, baby"
Taylor Swift,lastchristmas,"Last Christmas I gave you my heart But the very next day, you gave it away  This year, to save me from tears I'll give it to someone special Once bitten and twice shied I keep my distance but you still catch my eye Tell me baby Do you recognize me Well, it's been a year, it doesn't surprise me Merry Christmas,  I wrapped it up and sent it With a note saying 'I love you', I meant it Now I know what a fool I've been  But if you kiss me now, I know you'd fool me again Last Christmas I gave you my heart  But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Last Christmas I gave you my heart But the very next day, you gave it away  This year, to save me from tears I'll give it to someone special A crowded room and friends with tired eyes I'm hiding from you  and your soul of ice My God, I thought you were someone to rely on Me, I guess I was a shoulder to cry on A face on a lover with a fire in his heart  A girl on a cover but you tore her apart Maybe this year Maybe this year  I'll give it to someone special Cause last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special And last Christmas And this year It won't be anything like, anything like Last Christmas I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special"
Incubus,iwishyouwerehere,"I dig my toes into the sand The ocean looks like a thousand diamonds Strewn across a blue blanket I lean against the wind  Pretend that I am weightless And in this moment I am happy, happy  I wish you were here I wish you were here I wish you were here I wish you were here  I lay my head onto the sand The sky resembles a back-lit canopy With holes punched in it I'm counting UFOs  I signal them with my lighter And in this moment I am happy, happy  I wish you were here I wish you were here I wish you were here Wish you were here  The world's a roller coaster And I am not strapped in Maybe I should hold with care But my hands are busy in the air saying  I wish you were here I wish you were  I wish you were here I wish you were here I wish you were here Wish you were here"
Incubus,tomorrowfood,"I know you vie for the good ol' days and with less of us around, we were a cinch to sway does it feel like it's the end of the world well maybe it is, but when was it not, cause it's true, me and you we are all tomorrow's food today  there's no such thing as the good ol' days the older we all get, the better we all were there's no such as the end of the world (but just in case!) you'd best batten down and button up cause it's true, me and you we are all tomorrow's food today"
Taylor Swift,iwishyouwould,"This is another way I've written songs recently. This is a song I did with Jack Antonoff, and Jack is one of my friends and so were hanging out and he pulled out his phone and goes ""I made this amazing track the other day. It's so cool, I love these guitar sounds."" And he played it for me and immediately I could hear this finished song in my head, and I just said ""Please, please let me have that. Let me play with is, send it to me"". And so he sent it to me and I was on tour and this was me playing the track on my laptop recording me singing the vocal into my phone and it ended up being a song called ""I Wish You Would"", because Jack wrote back and said ""I love that"". So this is another way of writing, it's writing to track:  Okay so this is an idea called ""I Wish You Would"". It's kind of about this guy who's like, he's driving down the street at the middle of the night and he passes his ex-girlfriend's house and it's like, he thinks she hate him, but she's still in love with him, very dramatic. This track is sick, hope you like this  It's 2 am, in your car Windows down, past my street the memories start It's in the past You drive straight ahead You thinking that I hate you now Cause you stll don't know what I never said  I wish you would come back Wish I never hung up the phone like I did I wish you knew that  Do you like it!?"
Incubus,southerngirl,"Is everything a baited hook? And are there locks on all doors? If you're looking for an open book Look no further, I am yours  We'll behave like animals Swing from tree to tree We can do anything That turns you up and sets you free  You're an exception to the rule You're a bonafide rarity You're all I ever wanted Southern girl could you want me?  So come outside and walk with me We'll try each other on to see if we fit And with our roots, become a tree To shade what we make, under it  We'll behave like animals Swing from tree to tree We can do anything That turns you up and sets you free  You're an exception to the rule You're a bonafide rarity You're all I ever wanted Southern girl could you want me?  You're an exception to the rule You're a bonafide rarity You're all I ever wanted Southern girl could you want me?  Southern girl could you want me? Southern girl could you want me? Southern girl could you want me? ..."
Incubus,theanswer,"Step outside the bounds and take a Big look at the times we live in Who appointed you? You're just an avid image on my screen  So take your bias point of view Away from my organic institution And now we dare to think ourselves  The answer's waiting content (Look into your mind and guide) The answer's clear as day, open your eyes Now kill me  You killed the very thing that keeps us Hanging on to our dear lives So, in a sense you bit the hand that feeds us Just to kill your prophet now  And with the coming generation At the torn seams This is what you call progress I call it shame  The answer's waiting content (Look into your mind and guide) The answer's clear as day, open your eyes Now kill me  What his law says What his law says What his law says May not be the stepping stone for you  You killed the very thing that keeps us Hanging on to our dear lives You killed the very thing that keeps us Hanging on to our dear lives  You killed the very thing that keeps us Hanging on to our dear lives You killed the very thing that keeps us Hanging on to our dear lives, so  The answer's waiting content (Look into your mind and guide) Look into your mind and guide Look into your mind and guide"
Incubus,midnightswim,"A midnight swim is what I'm needing A careless will, a fast for feeding  I take to the deep where the lights been 'til now, asleep Gotta break out and find what the day left behind  So into blue, begin an ark The man was you, true and spark, oh  I take to the deep where the lights been 'til now, safe Gotta break out and find what the day left behind  Na, oh, no, no, oh, oh, woah, no, no, woah Whoa, no, no, woah, whoa ah  Water and salt, secrets like new Arrive salt, a midnight swim  I take to the deep where the lights until now, asleep Gotta break out and find what the day left behind  Na, oh, no, no, oh, oh, woah, no, no, woah Whoa, no, no, woah, whoa ah"
Taylor Swift,iknewyouweretrouble,"Once upon a time, a few mistakes ago I was in your sights, you got me alone You found me, you found me, you found me-e-e-e-e  I guess you didn't care and I guess I liked that And when I fell hard, you took a step back Without me, without me, without me-e-e-e-e-ee  And he's long gone when he's next to me And I realize the blame is on me  'Cause I knew you were trouble when you walked in So shame on me now Flew me to places I'd never been So you put me down, oh  I knew you were trouble when you walked in So shame on me now Flew me to places I'd never been Now I'm lying on the cold hard ground  Oh, oh, trouble, trouble, trouble Oh, oh, trouble, trouble, trouble  No apologies, he'll never see you cry Pretends he doesn't know that he's the reason why You're drowning, you're drowning, you're drowning-ing-ing-ing-ing  And I heard you moved on from whispers on the street A new notch in your belt is all I'll ever be Now I see, now I see, now I see-e-e-e-e-ee  He was long gone when he met me And I realize the joke is on me, hey!  I knew you were trouble when you walked in, ohh So shame on me now Flew me to places I'd never been So you put me down, oh  I knew you were trouble when you walked in So shame on me now Flew me to places I'd never been, yeah Now I'm lying on the cold hard ground  Oh, oh, trouble, trouble, trouble Oh, oh, trouble, trouble, trouble  When your saddest fear comes creeping in That you never loved me or her or anyone or anything, yeah  I knew you were trouble when you walked in So shame on me now Flew me to places I'd never been (never been) So you put me down, oh  I knew you were trouble when you walked in So shame on me now Flew me to places I'd never been, uhh Now I'm lying on the cold hard ground  Oh, oh, trouble, trouble, trouble Oh, oh, trouble, trouble, trouble  I knew you were trouble when you walked in Trouble, trouble, trouble I knew you were trouble when you walked in Trouble, trouble, trouble"
Incubus,theoriginal,"I only go where I'm wanted you go only where you want I aim to be more like you there is a ghost in my house rattling handles on every door show us an open window or two would you?  Doors are starting to close and you drew a rose my, my your mind it is original, oh you're a skeleton key, opening me, my, my, your mind it is original, girl you're the original always were and always will be  The flowers of adaptation unfold and lovingly alarm you effortlessly ring that bell your stripes are yours and yours only the bow ideal of rare birds and now I am under your spell oh, under your spell  Doors are starting to close and you drew a rose my, my your mind it is original, oh you're a skeleton key, opening me, my, my; your mind it is original, girl you're the original always were and always will be"
Incubus,agoraphobia,"Two people touching lips, hands on each other's hips Nothing else in the world but one another The 42nd floor, on a distant shore I wonder how we've strayed so far from this  Remember when we were just flesh and bone You sir, may have forgotten how good your world could be So, put down your hollow tips and kiss your lover's lips And know that fate is what you make of it  And please end this, please end this Before this ends us, ends us, ends us  I wanna stay inside I wanna stay inside for good I wanna stay inside For good, for good, for good, for good For good, for good, for good, for good  I read the news today and everything they say Just makes me want to stay inside and wait Better part of me knows that waiting in the throes Is on par with reading with my eyes closed  ""What can I do?"", you say, ""It's just another day In the life of apes with ego trips"" Put down your hollow tips and kiss your lover's lips And know that fate is what we make of it  But please end this, please end this Before this ends us, ends us, ends us  I wanna stay inside I wanna stay inside for good I wanna stay inside For good, for good  I'm gonna stay inside I'm gonna stay inside for good I'm gonna stay inside For good, for good  I wanna stay inside I wanna stay inside for good I wanna stay inside Don't want to stay inside for good  Don't wanna stay inside, for good For good, for good, for good, for good For good, fuck off, for good, for good For good, for good"
Taylor Swift,thewayilovedyou,"He is sensible and So incredible and All my single friends are jealous He says everything I need to hear  And it's like I couldn't ask for anything better He opens up my door And I get into his car  And he says you look beautiful tonight And I feel perfectly fine But I miss screaming and fighting And kissing in the rain And it's 2 am and I'm cursing your name  You're so in love that you act insane And that's the way I loved you Breakin' down and coming undone It's a roller coaster  Kinda rush And I never knew I could feel that much And that's the way I loved you He respects my space And never makes me wait  And he calls exactly when he says he will He's close to my mother Talks business with my father He's charming and endearing and I'm Comfortable But I miss screaming and fighting  And kissing in the rain And it's 2 am and I'm cursing your name You're so in love that you act insane And that's the way I loved you  Breakin' down and coming undone It's a roller coaster Kinda rush  And I never knew I could feel that much And that's the way I loved you  He can't see the smile I'm faking And my heart's not breaking Cause I'm not feeling anything at all And you were wild and crazy Just so frustrating intoxicating Complicated, got away by some mistake and now  I miss screaming and fighting and kissing in the rain It's 2am and I'm cursing your name I'm so in love that I acted insane And that's the way I loved you Breaking down and coming undone It's a roller coaster kinda rush And I never knew I could feel that much And that's the way I loved you oh, oh  And that's the way I loved you oh, oh Never knew I could feel that much And that's the way I loved you"
